#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.400649E-02   0.186201E+08   0.186181E+08  -0.391464E+05  -0.391464E+05   0.000000E+00   0.186198E+08   0.186198E+08   0.186198E+08  -0.418284E+00   0.908397E+07   0.908395E+07   0.161440E+01
   0.489353E-02   0.181393E+08   0.181363E+08  -0.255622E+05  -0.255622E+05   0.000000E+00   0.181388E+08   0.181388E+08   0.181388E+08  -0.407478E+00   0.884929E+07   0.884926E+07   0.187855E+01
   0.597698E-02   0.175583E+08   0.175540E+08  -0.165856E+05  -0.165856E+05   0.000000E+00   0.175576E+08   0.175576E+08   0.175576E+08  -0.394421E+00   0.856572E+07   0.856568E+07   0.217927E+01
   0.730029E-02   0.168653E+08   0.168591E+08  -0.106786E+05  -0.106786E+05   0.000000E+00   0.168643E+08   0.168643E+08   0.168643E+08  -0.378846E+00   0.822749E+07   0.822743E+07   0.251730E+01
   0.891660E-02   0.160489E+08   0.160399E+08  -0.681130E+04  -0.681131E+04   0.000000E+00   0.160474E+08   0.160474E+08   0.160474E+08  -0.360495E+00   0.782895E+07   0.782888E+07   0.288922E+01
   0.108908E-01   0.150978E+08   0.150850E+08  -0.429498E+04  -0.429498E+04   0.000000E+00   0.150957E+08   0.150957E+08   0.150957E+08  -0.339116E+00   0.736465E+07   0.736454E+07   0.328374E+01
   0.133020E-01   0.140021E+08   0.139842E+08  -0.266987E+04  -0.266988E+04   0.000000E+00   0.139990E+08   0.139990E+08   0.139990E+08  -0.314480E+00   0.682965E+07   0.682950E+07   0.367586E+01
   0.162471E-01   0.127552E+08   0.127308E+08  -0.163014E+04  -0.163014E+04   0.000000E+00   0.127511E+08   0.127511E+08   0.127511E+08  -0.286446E+00   0.622082E+07   0.622062E+07   0.401904E+01
   0.198443E-01   0.113612E+08   0.113292E+08  -0.973162E+03  -0.973164E+03   0.000000E+00   0.113558E+08   0.113558E+08   0.113558E+08  -0.255102E+00   0.554014E+07   0.553988E+07   0.423681E+01
   0.242378E-01   0.984768E+07   0.980770E+07  -0.565320E+03  -0.565321E+03   0.000000E+00   0.984096E+07   0.984096E+07   0.984096E+07  -0.221071E+00   0.480109E+07   0.480079E+07   0.422045E+01
   0.296042E-01   0.828537E+07   0.823944E+07  -0.318754E+03  -0.318754E+03   0.000000E+00   0.827766E+07   0.827766E+07   0.827766E+07  -0.185953E+00   0.403842E+07   0.403808E+07   0.384757E+01
   0.361586E-01   0.685336E+07   0.680680E+07  -0.176703E+03  -0.176704E+03   0.000000E+00   0.684555E+07   0.684555E+07   0.684555E+07  -0.153781E+00   0.333974E+07   0.333941E+07   0.304799E+01
   0.441642E-01   0.558993E+07   0.555102E+07  -0.966084E+02  -0.966086E+02   0.000000E+00   0.558340E+07   0.558340E+07   0.558340E+07  -0.125428E+00   0.272398E+07   0.272372E+07   0.191669E+01
   0.539423E-01   0.469858E+07   0.467393E+07  -0.544460E+02  -0.544461E+02   0.000000E+00   0.469444E+07   0.469444E+07   0.469444E+07  -0.105458E+00   0.229027E+07   0.229013E+07   0.829008E+00
   0.658853E-01   0.395657E+07   0.394312E+07  -0.307412E+02  -0.307413E+02   0.000000E+00   0.395431E+07   0.395431E+07   0.395431E+07  -0.888313E-01   0.192917E+07   0.192911E+07   0.285299E+00
   0.804724E-01   0.314289E+07   0.312871E+07  -0.163661E+02  -0.163661E+02   0.000000E+00   0.314051E+07   0.314051E+07   0.314051E+07  -0.705497E-01   0.153215E+07   0.153207E+07   0.344511E+00
   0.982893E-01   0.236009E+07   0.234405E+07  -0.823524E+01  -0.823525E+01   0.000000E+00   0.235740E+07   0.235740E+07   0.235740E+07  -0.529575E-01   0.115010E+07   0.115000E+07   0.353249E+00
   0.120051E+00   0.192456E+07   0.191658E+07  -0.450330E+01  -0.450331E+01   0.000000E+00   0.192322E+07   0.192322E+07   0.192322E+07  -0.432040E-01   0.938273E+06   0.938235E+06   0.105915E+00
   0.146630E+00   0.145945E+07   0.145144E+07  -0.228869E+01  -0.228869E+01   0.000000E+00   0.145810E+07   0.145810E+07   0.145810E+07  -0.327555E-01   0.711363E+06   0.711315E+06   0.111062E+00
