  0.122869E+00  0.440874E+05  0.368382E+05  0.000000E+00  0.000000E+00  0.115424E+03  0.141013E+05  0.968329E+00  0.426183E+05
  0.130297E+00  0.413362E+05  0.355457E+05  0.000000E+00  0.000000E+00  0.970256E+02  0.118571E+05  0.966031E+00  0.401307E+05
  0.137725E+00  0.385327E+05  0.331576E+05  0.000000E+00  0.000000E+00  0.804075E+02  0.982510E+04  0.963454E+00  0.374128E+05
  0.145154E+00  0.356448E+05  0.299118E+05  0.000000E+00  0.000000E+00  0.676650E+02  0.793847E+04  0.961375E+00  0.344787E+05
  0.152582E+00  0.328379E+05  0.265243E+05  0.000000E+00  0.000000E+00  0.552702E+02  0.646063E+04  0.959445E+00  0.315872E+05
  0.160010E+00  0.303750E+05  0.237725E+05  0.000000E+00  0.000000E+00  0.470303E+02  0.528204E+04  0.957299E+00  0.290878E+05
  0.167439E+00  0.283992E+05  0.220464E+05  0.000000E+00  0.000000E+00  0.401325E+02  0.433320E+04  0.955696E+00  0.271649E+05
  0.174867E+00  0.268553E+05  0.212153E+05  0.000000E+00  0.000000E+00  0.349161E+02  0.365598E+04  0.954241E+00  0.257509E+05
  0.182295E+00  0.256072E+05  0.208536E+05  0.000000E+00  0.000000E+00  0.302227E+02  0.310437E+04  0.952660E+00  0.246609E+05
  0.189724E+00  0.244858E+05  0.204723E+05  0.000000E+00  0.000000E+00  0.273431E+02  0.263201E+04  0.951546E+00  0.236718E+05
  0.197152E+00  0.233405E+05  0.197263E+05  0.000000E+00  0.000000E+00  0.244221E+02  0.224775E+04  0.950323E+00  0.226008E+05
  0.204580E+00  0.221284E+05  0.185672E+05  0.000000E+00  0.000000E+00  0.210312E+02  0.188454E+04  0.949188E+00  0.214040E+05
  0.212009E+00  0.208952E+05  0.171873E+05  0.000000E+00  0.000000E+00  0.184114E+02  0.158605E+04  0.948339E+00  0.201522E+05
  0.219437E+00  0.197216E+05  0.158660E+05  0.000000E+00  0.000000E+00  0.164279E+02  0.133322E+04  0.947284E+00  0.189594E+05
  0.232732E+00  0.180021E+05  0.142851E+05  0.000000E+00  0.000000E+00  0.133069E+02  0.999169E+03  0.946029E+00  0.172726E+05
  0.246833E+00  0.166797E+05  0.135864E+05  0.000000E+00  0.000000E+00  0.107703E+02  0.757714E+03  0.944978E+00  0.160637E+05
  0.261788E+00  0.154580E+05  0.128483E+05  0.000000E+00  0.000000E+00  0.919296E+01  0.571715E+03  0.944028E+00  0.149311E+05
  0.277649E+00  0.141130E+05  0.115454E+05  0.000000E+00  0.000000E+00  0.728574E+01  0.421757E+03  0.943129E+00  0.136003E+05
  0.294471E+00  0.128456E+05  0.103295E+05  0.000000E+00  0.000000E+00  0.600637E+01  0.308091E+03  0.942321E+00  0.123483E+05
  0.312313E+00  0.118251E+05  0.964046E+04  0.000000E+00  0.000000E+00  0.486114E+01  0.225547E+03  0.941800E+00  0.113899E+05
  0.331235E+00  0.108795E+05  0.894831E+04  0.000000E+00  0.000000E+00  0.404495E+01  0.168125E+03  0.941462E+00  0.104925E+05
  0.351304E+00  0.991261E+04  0.805136E+04  0.000000E+00  0.000000E+00  0.319522E+01  0.120626E+03  0.940898E+00  0.954262E+04
  0.372589E+00  0.906724E+04  0.737354E+04  0.000000E+00  0.000000E+00  0.263272E+01  0.894003E+02  0.940578E+00  0.873031E+04
  0.395164E+00  0.831633E+04  0.680895E+04  0.000000E+00  0.000000E+00  0.217011E+01  0.654477E+02  0.940416E+00  0.801518E+04
  0.419106E+00  0.758358E+04  0.617175E+04  0.000000E+00  0.000000E+00  0.175399E+01  0.474411E+02  0.940173E+00  0.730259E+04
  0.444499E+00  0.693082E+04  0.565227E+04  0.000000E+00  0.000000E+00  0.139498E+01  0.340306E+02  0.939908E+00  0.667602E+04
  0.620348E+00  0.411205E+04  0.335356E+04  0.000000E+00  0.000000E+00  0.426512E+00  0.520369E+01  0.939579E+00  0.396089E+04
  0.865765E+00  0.240494E+04  0.196180E+04  0.000000E+00  0.000000E+00  0.131233E+00  0.884679E+00  0.939370E+00  0.231661E+04
  0.120827E+01  0.138938E+04  0.113347E+04  0.000000E+00  0.000000E+00  0.385153E-01  0.133221E+00  0.939214E+00  0.133837E+04
  0.168628E+01  0.794294E+03  0.648037E+03  0.000000E+00  0.000000E+00  0.112092E-01  0.172085E-01  0.939550E+00  0.765138E+03
  0.235339E+01  0.449997E+03  0.367155E+03  0.000000E+00  0.000000E+00  0.324527E-02  0.838320E-03  0.939517E+00  0.433483E+03
  0.328442E+01  0.252952E+03  0.206391E+03  0.000000E+00  0.000000E+00  0.771444E-03  0.608699E-03  0.939045E+00  0.243670E+03
  0.458378E+01  0.141223E+03  0.115229E+03  0.000000E+00  0.000000E+00  0.272116E-03  0.184427E-03  0.939791E+00  0.136041E+03
  0.639719E+01  0.783755E+02  0.639487E+02  0.000000E+00  0.000000E+00  0.512625E-04 -0.707350E-04  0.938377E+00  0.754994E+02
